-151897652;2196;newtechaudit.ru,;#DS 
Поделись этой информацией со знакомыми студентами!;
-151897652;2224;newtechaudit.ru,;#Python 
Как придумать надежный пароль, используя Python? Расскажем в сегодняшней статье;
-151897652;2223;newtechaudit.ru,;#ИИ #искусственныйинтеллект  #technology 
Возможности зарождающегося искусственного интеллекта могут поразить опытных исследователей с многолетним стажем, которые с каждым годом открывают всё новые и новые возможности Artificialis Intelligentia (AI). В данной статье я расскажу и попытаюсь донести мысль о том, что AI способен не только решать разнообразные задачи на уровне человека, но и значительно превзойти его…;
-151897652;2221;newtechaudit.ru,;#Python #numba 
Как повысить производительность кода,  привнеся в него лишь незначительные изменения, и не "ломать голову" над установкой специального интерпретатора Python? Ответ в сегодняшней статье;
-151897652;2220;newtechaudit.ru,;#Python #selenium #Ds 
Одной из трудоемких задач для человека является классификация текста по каким-либо критериям, так как она занимает много человеческих ресурсов. Рассказываем, как мы, используя инструменты DS, решали задачу по сбору отзывов клиентов с сайтов популярных отзовиков (Banki.ru; Otzovik.ru; Sravni.ru; Asn-news.ru) с дальнейшей их классификацией на положительные и отрицательные, т.е. делали бинарную классификацию.;
-151897652;2219;;#Webinar
Какое влияние оказали экономические условия и текущая ситуация во всем мире на функционал внутреннего аудита? Как сильно он изменился и на чем сейчас фокусируется? Эти и другие вопросы будут обсуждаться на вебинаре Института внутренних аудиторов. Ссылка для регистрации — https://vk.cc/avvIuG;
-151897652;2218;newtechaudit.ru,;#Аудит 
При проверке внутрихозяйственной деятельности организаций аудиторам приходится сталкиваться с большим объемом документов, подтверждающих расходы. Будь это отчет за проживание в командировке или подтверждение подрядчиками стоимости приобретенных при строительстве объектов материалов. Нередки случаи, когда нечистые на руку контрагенты стремятся завысить фактически понесенные затраты и предоставляют для компенсации недостоверные отчетные документы.
Вооружившись лупой, попробуем распознать «липу».;
-151897652;2217;newtechaudit.ru,;#DS #Kaggle
Многие DS специалисты для прокачки своих навыков и повышения компетенций участвуют на Kaggle в различных IT соревнованиях. Однако организаторы площадки для лучшего распределения ресурсов вводят определенные лимиты на использование мощностей. Давайте поговорим о том, как максимально эффективно использовать предоставляемые ресурсы и повысить производительность во время таких соревнований.;
-151897652;2216;newtechaudit.ru,;#Саморазвитие #Тайм_менеджмент 
В связи с эпидемией коронавируса всё больше компаний переходят на удаленный режим работы и все более актуальным становится вопрос: как офисным сотрудникам преодолеть себя и настроиться на рабочую волну в условиях домашнего офиса? В этой статье я расскажу какие навыки вам стоит прокачать, и какие приемы и инструменты позволяют мне сохранять концентрацию, сосредоточиться на задачах и выполнять KPI. Если вы только начали работать в режиме home office или вам только предстоит на нее перейти я думаю вам будет полезна эта статья;
-151897652;2215;newtechaudit.ru,;#Python
В настоящее время все чаще используют модели для вероятностей исхода будущих событий.;
-151897652;2214;newtechaudit.ru,;#аудит
При проведении проверок аудиторы сталкиваются с ситуациями, когда неясно, говорит ли сотрудник правду, что-то недоговаривает или откровенно врет. Как это понять? 
Читайте в статье.;
-151897652;2213;newtechaudit.ru,;#ProcessMining #Hadoop 
Что делать, если у Вас большой лог-файл для построения графа процесса и ваш компьютер очень долго пытается произвести все необходимые вычисления? Есть решение: вы можете использовать Hadoop и библиотеку PM4PY!;
-151897652;2212;newtechaudit.ru,;#ProcessMining 
Многое уже сказано о Process Mining, в данной статье мы постараемся объединить накопленный опыт и знания воедино, а также ответим на главный вопрос: «Что же делать с лапшой?»;
-151897652;2211;newtechaudit.ru,;#Python 
Давайте снова поговорим о том, как используя API, вы можете получить и отсортировать данные всего несколькими командами. В продолжение темы сбора данных из социальной сети Вконтакте, хотим поделиться своим опытом по поиску пользователей и их друзей;
-151897652;2210;newtechaudit.ru,;#Python
Для того чтобы проверить есть ли в документе интересующие нас данные мы можем использовать поиск по документу. А что делать если мы знаем только шаблон того, что ищем? Подробнее Вы сможете узнать в этой статье.;
-151897652;2209;newtechaudit.ru,;#Python 
Если в вашем коде необходимо применять форматы дат и времени, то возможно вам будет полезны методы определения последнего рабочего/нерабочего дня месяца и нахождения количества рабочих дней между датами. Например, для формирования отчетности. Закладывать самостоятельно календарь и определять выходные может быть достаточно трудоемко. Чтобы этого избежать, можно воспользоваться нашими рекомендациями. Читайте в статье.;
-151897652;2208;newtechaudit.ru,;#аудит #agile
Есть ли будущее у Agile в аудите? Этот вопрос мы задали Алексею Корякову (бизнес-тренер, ACCA, член ИВА и Ассоциации аудита и управления информационных систем). И вот что он об этом думает….;
-151897652;2207;newtechaudit.ru,;#Python #PowerBI
Машинное обучение в Power BI. Звучит довольно необычно, правда? 
С недавних пор в Power BI реализовано машинное обучение на AutoML, однако воспользоваться этим функционалом могут не все пользователи. Так давайте же разберемся с тем, как обойти это ограничение с помощью Python;
-151897652;2206;data.mail.ru,;«Мэйлру» открывает набор на бесплатное обучение специалистов по анализу данных и машинному обучению.За 1,5 года можно освоить одну из трех специальностей — Data Scientist, Machine Learning Engineer или Data Engineer. Программу разработали эксперты из ИТ-индустрии, преподаватели ведущих вузов и специалисты Mail.ru Group. Подробнее;
-151897652;2205;newtechaudit.ru,;#DS #Python 
Никогда не задумывался, что влияет на цену недвижимости?Рассказываем, как построили первую модель машинного обучения и проанализировали ее качество;
